teryt,Gmina,Województwo,turnout_r1,mentzen_pct,nawrocki_pct_r1,eligible,turnout_r2,nawrocki_pct,duda_2020,turnout_2020,turnout_delta,nawrocki_swing,trzaskowski_2020_r2,duda_2020_r2,turnout_2020_r2,trzaskowski_2025_r2,trzaskowski_shift,nawrocki_vs_duda,braun,holownia,biejat,zandberg,fragmentation,anti_estab,left_bloc,trzaskowski_r2,teryt_str,commune_type_code,commune_type,is_urban,right_bloc,bloc_diff,pkw_code_x,pop_density,pkw_code_y,urban_rate,pkw_code,unemployed,unemployed_rate
20804,m. Nowa Ruda,dolnośląskie,55.536912751677846,11.876678734088522,25.084666588812333,15496.0,61.636208816401385,42.584450402144775,37.78,54.47,6.099296064723539,17.499783813332442,57.41,42.59,58.61,57.415549597855225,0.0055495978552286,-0.0055495978552286,5.336914632722177,4.589513021137452,3.8304332593717154,3.1764568492350813,0.7307084712166737,18.31133948382576,7.006890108606797,57.415549597855225,020804,4,Urban,1,17.2135933668107,10.206703258203902,,,,,,,
20805,m. Polanica-Zdrój,dolnośląskie,64.5536384096024,8.430571761960328,26.77946324387398,5332.0,71.02669772442215,39.89293907723681,37.32,62.55,6.47305931481975,13.11347583336283,59.16,40.84,69.0,60.10706092276319,0.9470609227631924,-0.9470609227631924,5.455075845974329,3.879813302217036,3.296382730455076,2.712952158693116,0.7008457190356308,14.760793465577596,6.009334889148192,60.10706092276319,020805,5,Rural,0,13.885647607934658,7.876312718786465,,,,,,,
20806,gm. Bystrzyca Kłodzka,dolnośląskie,59.65708522440747,12.257516973811832,31.72890397672163,13881.0,64.05740378343118,51.00479561543732,45.33,58.58,4.400318559023717,19.275891638715688,48.55,51.45,62.72,48.99520438456268,0.4452043845626861,-0.4452043845626861,7.577594568380213,3.87972841901067,3.661493695441319,3.1280310378273524,0.7571354481726047,20.82929194956353,6.789524733268671,48.99520438456268,020806,6,,0,19.835111542192045,13.045586808923375,,,,,,,
20807,gm. Kłodzko,dolnośląskie,58.32482124616956,17.491525423728813,32.664406779661014,12727.0,63.37149624950651,56.39732761880752,49.89,56.62,5.046675003336951,23.7329208391465,43.73,56.27,60.29,43.60267238119248,-0.12732761880752,0.12732761880752,7.349152542372882,4.745762711864407,3.3084745762711867,2.928813559322034,0.7754037943119794,25.81694915254237,6.237288135593221,43.60267238119248,020807,7,,0,24.840677966101694,18.603389830508473,,,,,,,
20808,gm. Lądek-Zdrój,dolnośląskie,58.742450054204745,12.288583509513742,28.726215644820297,6457.0,65.70374923171481,49.29245283018868,42.45,57.87,6.961299177510064,20.566237185368383,53.07,46.93,62.82,50.70754716981132,-2.36245283018868,2.36245283018868,7.928118393234672,4.545454545454546,3.488372093023256,2.6691331923890065,0.7534155440287134,20.87737843551797,6.157505285412262,50.70754716981132,020808,8,,0,20.216701902748415,14.059196617336152,,,,,,,
20809,gm. Lewin Kłodzki,dolnośląskie,59.89717223650386,14.810810810810812,26.81081081081081,1556.0,64.15441176470588,51.53550863723608,40.73,59.0,4.257239528202021,24.72469782642528,54.29,45.71,63.15,48.46449136276392,-5.8255086372360765,5.8255086372360765,6.8108108108108105,4.648648648648648,3.135135135135135,4.648648648648648,0.7818168005843682,22.37837837837838,7.783783783783783,48.46449136276392,020809,9,,0,21.62162162162162,13.837837837837839,,,,,,,
20810,gm. Międzylesie,dolnośląskie,58.564857405703776,12.977581307230816,28.13388064414272,5435.0,63.7902483900644,49.359720605355065,42.39,58.05,5.225390984360622,21.225839961212344,51.19,48.81,62.02,50.640279394644935,-0.5497206053550627,0.5497206053550627,10.956741395642563,3.378591727186612,3.473318598042311,3.441742974423745,0.768705715486981,24.85001578781181,6.9150615724660565,50.640279394644935,020810,0,,0,23.93432270287338,17.019261130407322,,,,,,,
20811,gm. Nowa Ruda,dolnośląskie,57.50847259553582,15.839967340273525,27.14839763216983,8557.0,62.954251440668,48.91652534388544,42.22,55.12,5.445778845132175,21.76812771171561,51.95,48.05,60.15,51.08347465611456,-0.8665253438854421,0.8665253438854421,6.593182282098388,4.3682384160032655,4.5927740355174524,3.08226168605838,0.7682566908502142,23.249642784241683,7.675035721575832,51.08347465611456,020811,1,Urban,1,22.433149622371914,14.758113900796083,,,,,,,
20812,gm. Radków,dolnośląskie,55.208333333333336,15.864723673357162,32.444322243607374,6624.0,60.99417823555755,56.86711210096511,45.2,56.16,5.785844902224213,24.42278985735773,49.11,50.89,61.43,43.13288789903489,-5.977112100965108,5.977112100965108,8.386032444322243,4.069287874621941,2.529557327467693,3.2994226010448173,0.7656661527730035,25.26807808633489,5.82897992851251,43.13288789903489,020812,2,Urban-Rural,0,24.250756117679405,18.421776189166895,,,,,,,
20813,gm. Stronie Śląskie,dolnośląskie,56.50811209439528,11.984282907662084,24.98362802881467,5424.0,61.279091075682615,43.103448275862064,36.68,56.74,4.770978981287335,18.1198202470474,58.24,41.76,62.22,56.896551724137936,-1.343448275862066,1.343448275862066,6.450556647020302,4.747871643745907,4.616895874263261,4.027504911591356,0.7542452403345328,19.417157825802228,8.644400785854618,56.896551724137936,020813,3,Rural,0,18.434839554682387,9.79043876882777,,,,,,,
