"Code";"Name";"Indicators";"Year";"Value";"Measure Unit";"Attribute";
0202074;"Niemcza - urban area (4)";"population per 1 km2";"2023";135.4;"person";"";
0202074;"Niemcza - urban area (4)";"population density of the built-up and urbanized area";"2023";;"person";"";
0202074;"Niemcza - urban area (4)";"population chenge per 1000 inhabitants";"2023";-14.7;"person";"";
0202074;"Niemcza - urban area (4)";"population in thousands";"2023";2.68;"thousand persons";"";
0202074;"Niemcza - urban area (4)";"population in thousands men";"2023";1.32;"thousand persons";"";
0202074;"Niemcza - urban area (4)";"population in thousands women";"2023";1.36;"thousand persons";"";
0202074;"Niemcza - urban area (4)";"urbanization rate";"2023";100.0;"%";"";
0202075;"Niemcza - rural area (5)";"population per 1 km2";"2023";44.9;"person";"";
0202075;"Niemcza - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
0202075;"Niemcza - rural area (5)";"population chenge per 1000 inhabitants";"2023";-26.2;"person";"";
0202075;"Niemcza - rural area (5)";"population in thousands";"2023";2.34;"thousand persons";"";
0202075;"Niemcza - rural area (5)";"population in thousands men";"2023";1.13;"thousand persons";"";
0202075;"Niemcza - rural area (5)";"population in thousands women";"2023";1.21;"thousand persons";"";
0202075;"Niemcza - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
0203000;"Powiat głogowski";"population per 1 km2";"2023";191.9;"person";"";
0203000;"Powiat głogowski";"population density of the built-up and urbanized area";"2023";;"person";"";
0203000;"Powiat głogowski";"population chenge per 1000 inhabitants";"2023";-7.5;"person";"";
0203000;"Powiat głogowski";"population in thousands";"2023";85.04;"thousand persons";"";
0203000;"Powiat głogowski";"population in thousands men";"2023";41.15;"thousand persons";"";
0203000;"Powiat głogowski";"population in thousands women";"2023";43.89;"thousand persons";"";
0203000;"Powiat głogowski";"urbanization rate";"2023";73.0;"%";"";
0203011;"Głogów (1)";"population per 1 km2";"2023";1766.8;"person";"";
0203011;"Głogów (1)";"population density of the built-up and urbanized area";"2023";;"person";"";
0203011;"Głogów (1)";"population chenge per 1000 inhabitants";"2023";-13.3;"person";"";
0203011;"Głogów (1)";"population in thousands";"2023";62.05;"thousand persons";"";
0203011;"Głogów (1)";"population in thousands men";"2023";29.62;"thousand persons";"";
0203011;"Głogów (1)";"population in thousands women";"2023";32.43;"thousand persons";"";
0203011;"Głogów (1)";"urbanization rate";"2023";100.0;"%";"";
0203022;"Głogów (2)";"population per 1 km2";"2023";85.0;"person";"";
0203022;"Głogów (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0203022;"Głogów (2)";"population chenge per 1000 inhabitants";"2023";13.6;"person";"";
0203022;"Głogów (2)";"population in thousands";"2023";7.21;"thousand persons";"";
0203022;"Głogów (2)";"population in thousands men";"2023";3.59;"thousand persons";"";
0203022;"Głogów (2)";"population in thousands women";"2023";3.62;"thousand persons";"";
0203022;"Głogów (2)";"urbanization rate";"2023";0.0;"%";"";
0203032;"Jerzmanowa (2)";"population per 1 km2";"2023";92.8;"person";"";
